p_trigger_needed,cash_out,preserve_cost,trigger_payoff,direct_payoff,mismatch_payoff,return_myopic_greedy,return_always_trigger,return_always_direct,return_random_preserve,return_possibility_preserving,winner,option_value,local_optimality_gap,threshold_cash_out,local_optimum_trap
0.05,7.5,1.5,13.0,9.0,0.0,7.5,-0.85,7.049999999999999,3.0999999999999996,7.699999999999999,possibility_preserving,0.1999999999999993,9.0,7.699999999999999,1.0
0.05,7.5,2.0,13.0,9.0,0.0,7.5,-1.35,6.549999999999999,2.5999999999999996,7.199999999999999,myopic_greedy,-0.3000000000000007,9.5,7.199999999999999,0.0
0.05,7.5,2.5,13.0,9.0,0.0,7.5,-1.85,6.049999999999999,2.0999999999999996,6.699999999999999,myopic_greedy,-0.8000000000000007,10.0,6.699999999999999,0.0
0.05,7.5,3.0,13.0,9.0,0.0,7.5,-2.35,5.549999999999999,1.5999999999999994,6.199999999999999,myopic_greedy,-1.3000000000000007,10.5,6.199999999999999,0.0
0.05,7.5,3.5,13.0,9.0,0.0,7.5,-2.85,5.049999999999999,1.0999999999999994,5.699999999999999,myopic_greedy,-1.8000000000000007,11.0,5.699999999999999,0.0
0.05,7.5,4.0,13.0,9.0,0.0,7.5,-3.35,4.549999999999999,0.5999999999999994,5.199999999999999,myopic_greedy,-2.3000000000000007,11.5,5.199999999999999,0.0
0.05,8.0,0.0,13.0,9.0,0.0,8.0,0.65,8.549999999999999,4.6,9.2,possibility_preserving,1.1999999999999993,8.0,9.2,1.0
0.05,8.0,0.5,13.0,9.0,0.0,8.0,0.15000000000000002,8.049999999999999,4.1,8.7,possibility_preserving,0.6999999999999993,8.5,8.7,1.0
0.05,8.0,1.0,13.0,9.0,0.0,8.0,-0.35,7.549999999999999,3.5999999999999996,8.2,possibility_preserving,0.1999999999999993,9.0,8.2,1.0
0.05,8.0,1.5,13.0,9.0,0.0,8.0,-0.85,7.049999999999999,3.0999999999999996,7.699999999999999,myopic_greedy,-0.3000000000000007,9.5,7.699999999999999,0.0
0.05,8.0,2.0,13.0,9.0,0.0,8.0,-1.35,6.549999999999999,2.5999999999999996,7.199999999999999,myopic_greedy,-0.8000000000000007,10.0,7.199999999999999,0.0
0.05,8.0,2.5,13.0,9.0,0.0,8.0,-1.85,6.049999999999999,2.0999999999999996,6.699999999999999,myopic_greedy,-1.3000000000000007,10.5,6.699999999999999,0.0
0.05,8.0,3.0,13.0,9.0,0.0,8.0,-2.35,5.549999999999999,1.5999999999999994,6.199999999999999,myopic_greedy,-1.8000000000000007,11.0,6.199999999999999,0.0
0.05,8.0,3.5,13.0,9.0,0.0,8.0,-2.85,5.049999999999999,1.0999999999999994,5.699999999999999,myopic_greedy,-2.3000000000000007,11.5,5.699999999999999,0.0
0.05,8.0,4.0,13.0,9.0,0.0,8.0,-3.35,4.549999999999999,0.5999999999999994,5.199999999999999,myopic_greedy,-2.8000000000000007,12.0,5.199999999999999,0.0
0.05,8.5,0.0,13.0,9.0,0.0,8.5,0.65,8.549999999999999,4.6,9.2,possibility_preserving,0.6999999999999993,8.5,9.2,1.0
0.05,8.5,0.5,13.0,9.0,0.0,8.5,0.15000000000000002,8.049999999999999,4.1,8.7,possibility_preserving,0.1999999999999993,9.0,8.7,1.0
0.05,8.5,1.0,13.0,9.0,0.0,8.5,-0.35,7.549999999999999,3.5999999999999996,8.2,myopic_greedy,-0.3000000000000007,9.5,8.2,0.0
0.05,8.5,1.5,13.0,9.0,0.0,8.5,-0.85,7.049999999999999,3.0999999999999996,7.699999999999999,myopic_greedy,-0.8000000000000007,10.0,7.699999999999999,0.0
0.05,8.5,2.0,13.0,9.0,0.0,8.5,-1.35,6.549999999999999,2.5999999999999996,7.199999999999999,myopic_greedy,-1.3000000000000007,10.5,7.199999999999999,0.0
0.05,8.5,2.5,13.0,9.0,0.0,8.5,-1.85,6.049999999999999,2.0999999999999996,6.699999999999999,myopic_greedy,-1.8000000000000007,11.0,6.699999999999999,0.0
0.05,8.5,3.0,13.0,9.0,0.0,8.5,-2.35,5.549999999999999,1.5999999999999994,6.199999999999999,myopic_greedy,-2.3000000000000007,11.5,6.199999999999999,0.0
0.05,8.5,3.5,13.0,9.0,0.0,8.5,-2.85,5.049999999999999,1.0999999999999994,5.699999999999999,myopic_greedy,-2.8000000000000007,12.0,5.699999999999999,0.0
0.05,8.5,4.0,13.0,9.0,0.0,8.5,-3.35,4.549999999999999,0.5999999999999994,5.199999999999999,myopic_greedy,-3.3000000000000007,12.5,5.199999999999999,0.0
0.05,9.0,0.0,13.0,9.0,0.0,9.0,0.65,8.549999999999999,4.6,9.2,possibility_preserving,0.1999999999999993,9.0,9.2,1.0
0.05,9.0,0.5,13.0,9.0,0.0,9.0,0.15000000000000002,8.049999999999999,4.1,8.7,myopic_greedy,-0.3000000000000007,9.5,8.7,0.0
0.05,9.0,1.0,13.0,9.0,0.0,9.0,-0.35,7.549999999999999,3.5999999999999996,8.2,myopic_greedy,-0.8000000000000007,10.0,8.2,0.0
0.05,9.0,1.5,13.0,9.0,0.0,9.0,-0.85,7.049999999999999,3.0999999999999996,7.699999999999999,myopic_greedy,-1.3000000000000007,10.5,7.699999999999999,0.0
0.05,9.0,2.0,13.0,9.0,0.0,9.0,-1.35,6.549999999999999,2.5999999999999996,7.199999999999999,myopic_greedy,-1.8000000000000007,11.0,7.199999999999999,0.0
0.05,9.0,2.5,13.0,9.0,0.0,9.0,-1.85,6.049999999999999,2.0999999999999996,6.699999999999999,myopic_greedy,-2.3000000000000007,11.5,6.699999999999999,0.0
0.05,9.0,3.0,13.0,9.0,0.0,9.0,-2.35,5.549999999999999,1.5999999999999994,6.199999999999999,myopic_greedy,-2.8000000000000007,12.0,6.199999999999999,0.0
0.05,9.0,3.5,13.0,9.0,0.0,9.0,-2.85,5.049999999999999,1.0999999999999994,5.699999999999999,myopic_greedy,-3.3000000000000007,12.5,5.699999999999999,0.0
0.05,9.0,4.0,13.0,9.0,0.0,9.0,-3.35,4.549999999999999,0.5999999999999994,5.199999999999999,myopic_greedy,-3.8000000000000007,13.0,5.199999999999999,0.0
0.05,9.5,0.0,13.0,9.0,0.0,9.5,0.65,8.549999999999999,4.6,9.2,myopic_greedy,-0.3000000000000007,9.5,9.2,0.0
0.05,9.5,0.5,13.0,9.0,0.0,9.5,0.15000000000000002,8.049999999999999,4.1,8.7,myopic_greedy,-0.8000000000000007,10.0,8.7,0.0
0.05,9.5,1.0,13.0,9.0,0.0,9.5,-0.35,7.549999999999999,3.5999999999999996,8.2,myopic_greedy,-1.3000000000000007,10.5,8.2,0.0
0.05,9.5,1.5,13.0,9.0,0.0,9.5,-0.85,7.049999999999999,3.0999999999999996,7.699999999999999,myopic_greedy,-1.8000000000000007,11.0,7.699999999999999,0.0
0.05,9.5,2.0,13.0,9.0,0.0,9.5,-1.35,6.549999999999999,2.5999999999999996,7.199999999999999,myopic_greedy,-2.3000000000000007,11.5,7.199999999999999,0.0
0.05,9.5,2.5,13.0,9.0,0.0,9.5,-1.85,6.049999999999999,2.0999999999999996,6.699999999999999,myopic_greedy,-2.8000000000000007,12.0,6.699999999999999,0.0
0.05,9.5,3.0,13.0,9.0,0.0,9.5,-2.35,5.549999999999999,1.5999999999999994,6.199999999999999,myopic_greedy,-3.3000000000000007,12.5,6.199999999999999,0.0
0.05,9.5,3.5,13.0,9.0,0.0,9.5,-2.85,5.049999999999999,1.0999999999999994,5.699999999999999,myopic_greedy,-3.8000000000000007,13.0,5.699999999999999,0.0
0.05,9.5,4.0,13.0,9.0,0.0,9.5,-3.35,4.549999999999999,0.5999999999999994,5.199999999999999,myopic_greedy,-4.300000000000001,13.5,5.199999999999999,0.0
0.05,10.0,0.0,13.0,9.0,0.0,10.0,0.65,8.549999999999999,4.6,9.2,myopic_greedy,-0.8000000000000007,10.0,9.2,0.0
0.05,10.0,0.5,13.0,9.0,0.0,10.0,0.15000000000000002,8.049999999999999,4.1,8.7,myopic_greedy,-1.3000000000000007,10.5,8.7,0.0
0.05,10.0,1.0,13.0,9.0,0.0,10.0,-0.35,7.549999999999999,3.5999999999999996,8.2,myopic_greedy,-1.8000000000000007,11.0,8.2,0.0
0.05,10.0,1.5,13.0,9.0,0.0,10.0,-0.85,7.049999999999999,3.0999999999999996,7.699999999999999,myopic_greedy,-2.3000000000000007,11.5,7.699999999999999,0.0
0.05,10.0,2.0,13.0,9.0,0.0,10.0,-1.35,6.549999999999999,2.5999999999999996,7.199999999999999,myopic_greedy,-2.8000000000000007,12.0,7.199999999999999,0.0
0.05,10.0,2.5,13.0,9.0,0.0,10.0,-1.85,6.049999999999999,2.0999999999999996,6.699999999999999,myopic_greedy,-3.3000000000000007,12.5,6.699999999999999,0.0
0.05,10.0,3.0,13.0,9.0,0.0,10.0,-2.35,5.549999999999999,1.5999999999999994,6.199999999999999,myopic_greedy,-3.8000000000000007,13.0,6.199999999999999,0.0
0.05,10.0,3.5,13.0,9.0,0.0,10.0,-2.85,5.049999999999999,1.0999999999999994,5.699999999999999,myopic_greedy,-4.300000000000001,13.5,5.699999999999999,0.0
0.05,10.0,4.0,13.0,9.0,0.0,10.0,-3.35,4.549999999999999,0.5999999999999994,5.199999999999999,myopic_greedy,-4.800000000000001,14.0,5.199999999999999,0.0
0.05,10.5,0.0,13.0,9.0,0.0,10.5,0.65,8.549999999999999,4.6,9.2,myopic_greedy,-1.3000000000000007,10.5,9.2,0.0
0.05,10.5,0.5,13.0,9.0,0.0,10.5,0.15000000000000002,8.049999999999999,4.1,8.7,myopic_greedy,-1.8000000000000007,11.0,8.7,0.0
0.05,10.5,1.0,13.0,9.0,0.0,10.5,-0.35,7.549999999999999,3.5999999999999996,8.2,myopic_greedy,-2.3000000000000007,11.5,8.2,0.0
0.05,10.5,1.5,13.0,9.0,0.0,10.5,-0.85,7.049999999999999,3.0999999999999996,7.699999999999999,myopic_greedy,-2.8000000000000007,12.0,7.699999999999999,0.0
0.05,10.5,2.0,13.0,9.0,0.0,10.5,-1.35,6.549999999999999,2.5999999999999996,7.199999999999999,myopic_greedy,-3.3000000000000007,12.5,7.199999999999999,0.0
0.05,10.5,2.5,13.0,9.0,0.0,10.5,-1.85,6.049999999999999,2.0999999999999996,6.699999999999999,myopic_greedy,-3.8000000000000007,13.0,6.699999999999999,0.0
0.05,10.5,3.0,13.0,9.0,0.0,10.5,-2.35,5.549999999999999,1.5999999999999994,6.199999999999999,myopic_greedy,-4.300000000000001,13.5,6.199999999999999,0.0
0.05,10.5,3.5,13.0,9.0,0.0,10.5,-2.85,5.049999999999999,1.0999999999999994,5.699999999999999,myopic_greedy,-4.800000000000001,14.0,5.699999999999999,0.0
0.05,10.5,4.0,13.0,9.0,0.0,10.5,-3.35,4.549999999999999,0.5999999999999994,5.199999999999999,myopic_greedy,-5.300000000000001,14.5,5.199999999999999,0.0
0.05,11.0,0.0,13.0,9.0,0.0,11.0,0.65,8.549999999999999,4.6,9.2,myopic_greedy,-1.8000000000000007,11.0,9.2,0.0
0.05,11.0,0.5,13.0,9.0,0.0,11.0,0.15000000000000002,8.049999999999999,4.1,8.7,myopic_greedy,-2.3000000000000007,11.5,8.7,0.0
0.05,11.0,1.0,13.0,9.0,0.0,11.0,-0.35,7.549999999999999,3.5999999999999996,8.2,myopic_greedy,-2.8000000000000007,12.0,8.2,0.0
0.05,11.0,1.5,13.0,9.0,0.0,11.0,-0.85,7.049999999999999,3.0999999999999996,7.699999999999999,myopic_greedy,-3.3000000000000007,12.5,7.699999999999999,0.0
0.05,11.0,2.0,13.0,9.0,0.0,11.0,-1.35,6.549999999999999,2.5999999999999996,7.199999999999999,myopic_greedy,-3.8000000000000007,13.0,7.199999999999999,0.0
0.05,11.0,2.5,13.0,9.0,0.0,11.0,-1.85,6.049999999999999,2.0999999999999996,6.699999999999999,myopic_greedy,-4.300000000000001,13.5,6.699999999999999,0.0
0.05,11.0,3.0,13.0,9.0,0.0,11.0,-2.35,5.549999999999999,1.5999999999999994,6.199999999999999,myopic_greedy,-4.800000000000001,14.0,6.199999999999999,0.0
0.05,11.0,3.5,13.0,9.0,0.0,11.0,-2.85,5.049999999999999,1.0999999999999994,5.699999999999999,myopic_greedy,-5.300000000000001,14.5,5.699999999999999,0.0
0.05,11.0,4.0,13.0,9.0,0.0,11.0,-3.35,4.549999999999999,0.5999999999999994,5.199999999999999,myopic_greedy,-5.800000000000001,15.0,5.199999999999999,0.0
0.05,11.5,0.0,13.0,9.0,0.0,11.5,0.65,8.549999999999999,4.6,9.2,myopic_greedy,-2.3000000000000007,11.5,9.2,0.0
0.05,11.5,0.5,13.0,9.0,0.0,11.5,0.15000000000000002,8.049999999999999,4.1,8.7,myopic_greedy,-2.8000000000000007,12.0,8.7,0.0
0.05,11.5,1.0,13.0,9.0,0.0,11.5,-0.35,7.549999999999999,3.5999999999999996,8.2,myopic_greedy,-3.3000000000000007,12.5,8.2,0.0
0.05,11.5,1.5,13.0,9.0,0.0,11.5,-0.85,7.049999999999999,3.0999999999999996,7.699999999999999,myopic_greedy,-3.8000000000000007,13.0,7.699999999999999,0.0
0.05,11.5,2.0,13.0,9.0,0.0,11.5,-1.35,6.549999999999999,2.5999999999999996,7.199999999999999,myopic_greedy,-4.300000000000001,13.5,7.199999999999999,0.0
0.05,11.5,2.5,13.0,9.0,0.0,11.5,-1.85,6.049999999999999,2.0999999999999996,6.699999999999999,myopic_greedy,-4.800000000000001,14.0,6.699999999999999,0.0
0.05,11.5,3.0,13.0,9.0,0.0,11.5,-2.35,5.549999999999999,1.5999999999999994,6.199999999999999,myopic_greedy,-5.300000000000001,14.5,6.199999999999999,0.0
0.05,11.5,3.5,13.0,9.0,0.0,11.5,-2.85,5.049999999999999,1.0999999999999994,5.699999999999999,myopic_greedy,-5.800000000000001,15.0,5.699999999999999,0.0
0.05,11.5,4.0,13.0,9.0,0.0,11.5,-3.35,4.549999999999999,0.5999999999999994,5.199999999999999,myopic_greedy,-6.300000000000001,15.5,5.199999999999999,0.0
0.05,12.0,0.0,13.0,9.0,0.0,12.0,0.65,8.549999999999999,4.6,9.2,myopic_greedy,-2.8000000000000007,12.0,9.2,0.0
0.05,12.0,0.5,13.0,9.0,0.0,12.0,0.15000000000000002,8.049999999999999,4.1,8.7,myopic_greedy,-3.3000000000000007,12.5,8.7,0.0
0.05,12.0,1.0,13.0,9.0,0.0,12.0,-0.35,7.549999999999999,3.5999999999999996,8.2,myopic_greedy,-3.8000000000000007,13.0,8.2,0.0
0.05,12.0,1.5,13.0,9.0,0.0,12.0,-0.85,7.049999999999999,3.0999999999999996,7.699999999999999,myopic_greedy,-4.300000000000001,13.5,7.699999999999999,0.0
0.05,12.0,2.0,13.0,9.0,0.0,12.0,-1.35,6.549999999999999,2.5999999999999996,7.199999999999999,myopic_greedy,-4.800000000000001,14.0,7.199999999999999,0.0
0.05,12.0,2.5,13.0,9.0,0.0,12.0,-1.85,6.049999999999999,2.0999999999999996,6.699999999999999,myopic_greedy,-5.300000000000001,14.5,6.699999999999999,0.0
0.05,12.0,3.0,13.0,9.0,0.0,12.0,-2.35,5.549999999999999,1.5999999999999994,6.199999999999999,myopic_greedy,-5.800000000000001,15.0,6.199999999999999,0.0
0.05,12.0,3.5,13.0,9.0,0.0,12.0,-2.85,5.049999999999999,1.0999999999999994,5.699999999999999,myopic_greedy,-6.300000000000001,15.5,5.699999999999999,0.0
0.05,12.0,4.0,13.0,9.0,0.0,12.0,-3.35,4.549999999999999,0.5999999999999994,5.199999999999999,myopic_greedy,-6.800000000000001,16.0,5.199999999999999,0.0
0.05,12.5,0.0,13.0,9.0,0.0,12.5,0.65,8.549999999999999,4.6,9.2,myopic_greedy,-3.3000000000000007,12.5,9.2,0.0
0.05,12.5,0.5,13.0,9.0,0.0,12.5,0.15000000000000002,8.049999999999999,4.1,8.7,myopic_greedy,-3.8000000000000007,13.0,8.7,0.0
0.05,12.5,1.0,13.0,9.0,0.0,12.5,-0.35,7.549999999999999,3.5999999999999996,8.2,myopic_greedy,-4.300000000000001,13.5,8.2,0.0
0.05,12.5,1.5,13.0,9.0,0.0,12.5,-0.85,7.049999999999999,3.0999999999999996,7.699999999999999,myopic_greedy,-4.800000000000001,14.0,7.699999999999999,0.0
0.05,12.5,2.0,13.0,9.0,0.0,12.5,-1.35,6.549999999999999,2.5999999999999996,7.199999999999999,myopic_greedy,-5.300000000000001,14.5,7.199999999999999,0.0
0.05,12.5,2.5,13.0,9.0,0.0,12.5,-1.85,6.049999999999999,2.0999999999999996,6.699999999999999,myopic_greedy,-5.800000000000001,15.0,6.699999999999999,0.0
0.05,12.5,3.0,13.0,9.0,0.0,12.5,-2.35,5.549999999999999,1.5999999999999994,6.199999999999999,myopic_greedy,-6.300000000000001,15.5,6.199999999999999,0.0
0.05,12.5,3.5,13.0,9.0,0.0,12.5,-2.85,5.049999999999999,1.0999999999999994,5.699999999999999,myopic_greedy,-6.800000000000001,16.0,5.699999999999999,0.0
0.05,12.5,4.0,13.0,9.0,0.0,12.5,-3.35,4.549999999999999,0.5999999999999994,5.199999999999999,myopic_greedy,-7.300000000000001,16.5,5.199999999999999,0.0
0.05,13.0,0.0,13.0,9.0,0.0,13.0,0.65,8.549999999999999,4.6,9.2,myopic_greedy,-3.8000000000000007,13.0,9.2,0.0
0.05,13.0,0.5,13.0,9.0,0.0,13.0,0.15000000000000002,8.049999999999999,4.1,8.7,myopic_greedy,-4.300000000000001,13.5,8.7,0.0
0.05,13.0,1.0,13.0,9.0,0.0,13.0,-0.35,7.549999999999999,3.5999999999999996,8.2,myopic_greedy,-4.800000000000001,14.0,8.2,0.0
0.05,13.0,1.5,13.0,9.0,0.0,13.0,-0.85,7.049999999999999,3.0999999999999996,7.699999999999999,myopic_greedy,-5.300000000000001,14.5,7.699999999999999,0.0
0.05,13.0,2.0,13.0,9.0,0.0,13.0,-1.35,6.549999999999999,2.5999999999999996,7.199999999999999,myopic_greedy,-5.800000000000001,15.0,7.199999999999999,0.0
0.05,13.0,2.5,13.0,9.0,0.0,13.0,-1.85,6.049999999999999,2.0999999999999996,6.699999999999999,myopic_greedy,-6.300000000000001,15.5,6.699999999999999,0.0
0.05,13.0,3.0,13.0,9.0,0.0,13.0,-2.35,5.549999999999999,1.5999999999999994,6.199999999999999,myopic_greedy,-6.800000000000001,16.0,6.199999999999999,0.0
0.05,13.0,3.5,13.0,9.0,0.0,13.0,-2.85,5.049999999999999,1.0999999999999994,5.699999999999999,myopic_greedy,-7.300000000000001,16.5,5.699999999999999,0.0
0.05,13.0,4.0,13.0,9.0,0.0,13.0,-3.35,4.549999999999999,0.5999999999999994,5.199999999999999,myopic_greedy,-7.800000000000001,17.0,5.199999999999999,0.0
0.05,13.5,0.0,13.0,9.0,0.0,13.5,0.65,8.549999999999999,4.6,9.2,myopic_greedy,-4.300000000000001,13.5,9.2,0.0
0.05,13.5,0.5,13.0,9.0,0.0,13.5,0.15000000000000002,8.049999999999999,4.1,8.7,myopic_greedy,-4.800000000000001,14.0,8.7,0.0
0.05,13.5,1.0,13.0,9.0,0.0,13.5,-0.35,7.549999999999999,3.5999999999999996,8.2,myopic_greedy,-5.300000000000001,14.5,8.2,0.0
0.05,13.5,1.5,13.0,9.0,0.0,13.5,-0.85,7.049999999999999,3.0999999999999996,7.699999999999999,myopic_greedy,-5.800000000000001,15.0,7.699999999999999,0.0
0.05,13.5,2.0,13.0,9.0,0.0,13.5,-1.35,6.549999999999999,2.5999999999999996,7.199999999999999,myopic_greedy,-6.300000000000001,15.5,7.199999999999999,0.0
0.05,13.5,2.5,13.0,9.0,0.0,13.5,-1.85,6.049999999999999,2.0999999999999996,6.699999999999999,myopic_greedy,-6.800000000000001,16.0,6.699999999999999,0.0
0.05,13.5,3.0,13.0,9.0,0.0,13.5,-2.35,5.549999999999999,1.5999999999999994,6.199999999999999,myopic_greedy,-7.300000000000001,16.5,6.199999999999999,0.0
